,Link,PDF Links,Título,Autores,Data Publicação,Publicação Mãe,Autor
0,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_nota_editor.pdf,EDITORIAL,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",Manoel Pires
1,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo1.pdf,O BÔNUS FISCAL DOS ESTADOS E A POLÍTICA MACROECONÔMICA,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",Manoel Pires
2,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo2.pdf,"PICOS, VALES E CICLOS: QUAL O COMPORTAMENTO DO INVESTIMENTO ENTRE 1996 E 2020?",,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021","Bruno de Oliveira Cruz, João Pedro Cavalcanti"
3,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo3.pdf,DESIGUALDADE TECNOLÓGICA RURAL: BREVES CONSIDERAÇÕES SOBRE POSSÍVEIS TENDÊNCIAS,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",César Nunes de Castro
4,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo4.pdf,DISTRIBUIÇÃO REGIONAL DO VALOR BRUTO DA PRODUÇÃO (VBP) PECUÁRIA NO BRASIL,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",Rogério Edivaldo Freitas
5,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo5.pdf,INSTRUMENTOS DE GESTÃO DO MEIO AMBIENTE: UMA ANÁLISE DA REALIDADE DOS MUNICÍPIOS NORDESTINOS,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021","Janaildo Soares de Sousa, Érika Costa Sousa, Lídia da Silva Azevedo, Francisco Aquiles de Oliveira Caetano"
6,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo6.pdf,INSTRUMENTOS DE GESTÃO MUNICIPAL: CONTRIBUIÇÕES DOS MUNICÍPIOS PARA AS POLÍTICAS PÚBLICAS AMBIENTAIS E DOS RECURSOS HÍDRICOS NO NORDESTE BRASILEIRO,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021","Janaildo Soares de Sousa, Francisco Aquiles de Oliveira Caetano, Marisa Guilherme da Frota, Andréa Ferreira da Silva, Érika Costa Sousa"
7,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo7.pdf,ESTRATÉGIA DE VACINAÇÃO EM MASSA CONTRA COVID-19 NAS FRONTEIRAS BRASILEIRAS,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021",Maria Nunes
8,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo8.pdf,O TRABALHO REMOTO NO PRIMEIRO PERÍODO DA PANDEMIA DE COVID-19: UMA ANÁLISE PARA O NORDESTE,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021","Felipe dos Santos Martins, Geraldo Sandoval Góes, José Antônio Sena Nascimento"
9,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39259,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/boletim_regional/218388_bru_26_artigo9.pdf,ANÁLISE DO AFASTAMENTO E DO TRABALHO REMOTO NA REGIÃO SUL E NO BRASIL DURANTE A PANDEMIA PARA O SETOR PÚBLICO E PRIVADO,,,"Boletim Regional, Urbano e Ambiental nº 26, Julho/Dez de 2021","Felipe dos Santos Martins, Geraldo Sandoval Góes, José Antônio Sena Nascimento"
