,Link PDF Extraído,Título,Autores,Data Publicação,Publicação Mãe,Link
0,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220317_nota_25_boletim_expectativa.pdf,BOLETIM DE EXPECTATIVAS – MARÇO DE 2022,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
1,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220315_cc_nota_22_guerra_da_ucrania.pdf,COMO A GUERRA NA UCRÂNIA PODERÁ AFETAR O COMÉRCIO EXTERIOR? EFEITOS SOBRE O BRASIL,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
2,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220224_cc_54_nota_17_economia_mundial.pdf,INFLAÇÃO E NÍVEL DE ATIVIDADE NA ECONOMIA GLOBAL,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220204_cc_54_nota_11_boletim_de_expectativas_fevereiro_22.pdf,BOLETIM DE EXPECTATIVAS – FEVEREIRO DE 2022,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220322_cc_54_nota_28_pib_agro.pdf,COMÉRCIO EXTERIOR DO AGRONEGÓCIO: FEVEREIRO DE 2022,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
5,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220303_nota_20_pib.pdf,DESEMPENHO DO PIB NO QUARTO TRIMESTRE DE 2021,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
6,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220314_cc_54_nota_21_rendimentos_do_trabalho.pdf,RETRATO DOS RENDIMENTOS E HORAS TRABALHADAS DURANTE A PANDEMIA – RESULTADOS DA PNAD CONTÍNUA DO QUARTO TRIMESTRE DE 2021,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/220127_cc_54_nota_7_cultura.pdf,O MERCADO DE TRABALHO NO SETOR CULTURAL: A INFLUÊNCIA DA PANDEMIA DE COVID-19 NOS SEUS FLUXOS E ESTOQUES,,,Carta de Conjuntura - 2022 - 1º Trimestre - nº 54,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39222
8,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/211216_nota_2_evergrande.pdf,A CRISE DA EVERGRANDE E AS CONSEQUÊNCIAS PARA A MINERAÇÃO BRASILEIRA,Atividade Econômica,,Carta de Conjuntura - 2021 - 4º Trimestre - nº 53,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38831
9,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/conjuntura/211202_nota_18_pib.pdf,DESEMPENHO DO PIB NO TERCEIRO TRIMESTRE DE 2021,", Mercado de Trabalho",,Carta de Conjuntura - 2021 - 4º Trimestre - nº 53,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38831
