,Título do Artigo,Autor,Palavras-chave,Resumo,PDF Links,Link para o Sumário Executivo,Link
0,DP 268 - The Platformization of Science: Lattes Platform at a Crossroads?,Tulio Chiarini e Victo José da Silva Neto,Keywords: Lattes platform; platformization of science; platform infrastructuralization; science policy.,"In this Discussion Paper, we focus our analysis on the Lattes Platform – a public initiative developed endogenously in the late 1990s which was very innovative – since it is a representative case of a scientific platform and is a paramount tool for the Brazilian scientific system. Although there are many academic studies published using data provided by the Lattes Platform, we identified a lack of official reports and articles that address Lattes as a digital platform and its adequacy in the context of the platform economy. We propose that the early-stage technology choices made by CNPq and the constant budget cuts for the Lattes Platform’s maintenance and technological upgrading have strongly affected the platform’s trajectory. As a consequence, the Lattes Platform may be locked-in to a technological trajectory that could lead to the stagnation of its functionalities, putting at risk its indispensable and infrastructural character.

",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_268.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_268_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39254
1,DP 267 - Dynamic Capabilities of the Public Sector: Towards a New Synthesis,Breno Galvão,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/220425_218173_dp_267_web.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/220425_218173_dp_267_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39169
2,DP 266 - The Role of Industrial Sector in The Brazilian Territorial Reconfiguration: New Expressions For XXI Century National Dilemmas,"Aristides Monteiro Neto, Raphael de Oliveira Silva e Danilo Severian",Keywords: industry and territory; territorial reconfiguration; industrial dynamism; regional development.Palavras-chave: indústria e território; reconfiguração territorial; dinâmica industrial; desenvolvimento regional.,"In this article, we discuss the current pattern of territorial reconfiguration of the Brazilian industry, its current forms, and motivations in order to problematize some of the most significant challenges of the current regional issue. We have brought new evidence of how it keeps deconcentrating in the context of the persistent decline in the industrial participation in the national economy. We resumed the analysis on the micro-regional scale that showed the following results. 1) Relevant industrial agglomerations (RIAs) continue to flourish in all regions of the country. 2) Their preferred place is no longer the polygonal area of Diniz-Crocco (1996). 3) In terms of industrial job creation, the new RIAs for the period 1995-2015 generated more jobs than those established before 1995.

Discutimos, neste texto, o padrão atual de reconfiguração territorial da indústria, suas formas atuais e suas motivações, de maneira a problematizar alguns dos desafios mais significativos da questão regional brasileira atual. Trouxemos novas evidências de como ele se mantém desconcentrando em contexto de persistente declínio da participação industrial na economia nacional. Retomamos a análise na escala microrregional, que mostrou os resultados resumidos a seguir. 1) Aglomerações industriais relevantes (AIRs) continuam florescendo em todas as regiões do país. 2) Seu lugar preferencial não é mais a área poligonal de Diniz-Crocco (1996). 3) Em termos de geração de empregos industriais, as novas AIRs do período 1995-2015 geraram mais empregos que as já estabelecidas antes de 1995.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_266.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_266_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39134
3,"DP 265 - Brazilian Maritime GDP, Social, Economic and Environmental Motivations for its Measurement and Monitoring",Breno Galvão,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/220331_dp_265_web.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/220331_dp_265_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39104
4,"DP 264 - Trade and Competition: Mark-UPS, Concentration, and International Orientation - Discussion and Empirical Test for Brazilian Manufacturing Sectors",Breno Galvão,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/220329_dp_264_web.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/220329_dp_264_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39088
5,"DP 263 - Science, Technology end Innovation in the Strategic Programs of the Brazilian Navy","Israel de Oliveira Andrade, Mariana Montez Carpes, Luiz Gustavo Aversa Franco e Giovanni Roriz Lyra Hillebrand","Keywords: national defense; science, technology and innovation; Brazilian Navy; naval power; military technology; strategic programs; Brazilian Armed Forces.","National Defense requires adequately trained, prepared and equipped armed forces to perform in guaranteeing national interests and protect sovereignty. Regarding the issue of equipping – which is the main focus of the three forces’ (Navy, Army, and Air Force) strategic programs – it is not restricted to investment in updated defense equipment and systems procurement, but chiefly the development of endogenous scientific-technological capacities able to provide defense needs. This makes it vital to undertake efforts and investments in the area of science, technology, and innovation, especially in research and development activities aimed at national defense. The purpose of this work is to analyze the importance of such activities in the achievement of the main strategic programs of the Brazilian Navy. For this purpose, the main aspects of the interrelation between national defense and science, technology and innovation, the general characteristics of the Navy’s main strategic programs and the importance of scientific-technological enterprises in their development will be examined.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_263.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_263_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39049
6,DP 262 - The State Of The Art Of Environmental Economic Water And Forest Accounts In Brazil: Overview And Evolution,Henrique Boiteux,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/211228_dp_62_web.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/211228_dp_62_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38821
7,"DP 0261 - Blue Amazon Management System (SISGAAZ): Sovereignty, Surveillance and Defense of the Brazilian Jurisdictional Waters","Israel de Oliveira Andrade, Antônio Jorge Ramalho da Rocha e Luiz Gustavo Aversa Franco","Keywords: national defense; science, technology and innovation; Brazilian Navy; Blue Amazon; sea power; public policy.","Brazil is a country with a maritime vocation, whose development is intrinsically associated with the sea. The Brazilian coast and jurisdictional waters’ extension constitute a challenge on themselves to the national defense. The presence of fundamental potentialities for the country, such as valuable natural resources, important urban centers and large population concentrations along the coast, and communication routes underline the importance of watching and protecting this area, called Blue Amazon. In order to provide adequate means to protect this large area, the Navy has developed strategic programs. One of these programs is the Blue Amazon Management System (SisGAAz), which currently goes through a reformulation due to the country’s budgetary restraints. This study aims to demonstrate the importance of developing and implementing SisGAAz to monitor the Blue Amazon. It also discusses the implications of its reformulation, as well as the possible alternatives.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_261.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_261_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38790
8,DP 0259 - Agribusiness Trade Between Brazil and China: Pillars end Opportunities,"Marcelo José Braga Nonnenberg, Vallace Moreira Lima, Mateus Azevedo Araujo, Fernanda Pedrosa, Scarlett Queen Almeida Bispo",Keywords: agriculture; international trade; trade policy; Brazil; China.Palavras-chave: agricultura; comércio internacional; política comercial; Brasil; China.,"In this paper, we discuss the agricultural trade between Brazil and China. We select a set of key commodities and debate whether there are obstacles or opportunities to increase trade between the two economies. Following an institutional and historical analysis, we provide a statistical description of the recent history of Brazilian exports to China. We contrast the trade statistics with a set of indicators on the use of tariff and non-tariff measures and highlight which institutions are responsible to regulate the agricultural sector in Brazil. Our main findings support the relevance of the bilateral trade of agricultural products between Brazil and China. Still, a set of products can be classified as missed trade opportunities. We argue about the negative effects of preferential tariffs applied to other groups of countries. We can link the case of a subset of commodities to the incidence of non-tariff measures.

Este trabalho discute o comércio de produtos agrícolas entre Brasil e China. A partir de uma seleção de commodities, é levantado debate sobre a existência de obstáculos ou oportunidades não aproveitadas de incremento do comércio entre as duas economias. Após uma análise histórica e institucional, é proposta uma descrição estatística do histórico recente de exportações do Brasil para a China. Esses dados são contrastados com um conjunto de indicadores sobre a incidência de tarifas e medidas não tarifárias e, em seguida, é feita menção à institucionalidade que regula o setor de agricultura no Brasil. Os principais apontamentos deste trabalho dão suporte à relevância do comércio bilateral de produtos agrícolas entre os dois países. Ademais, é possível classificar um conjunto de produtos como oportunidades não aproveitadas de comércio. Nesse contexto, discutem-se os efeitos negativos de tarifas preferenciais aplicadas para alguns grupos de países. Ainda, é possível relacionar, ao menos fracamente, o caso de um pequeno subconjunto de produtos com a incidência de medidas não tarifárias específicas.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_259.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/ingles/dp_259_sumex.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38428
9,DP 0260 - Current Unemployment Variance Decomposition and Consequences of Using Proxies,"Carlos Henrique Corseuil, Miguel N.Foguel e Ajax Moreira",Keywords: unemployment; labor market flows; decomposition.Palavras-chave: desemprego; fluxos no marcado de trabalho; decomposição de variância.,"We offer a decomposition for the variance of the current unemployment rate that not only measures the contributions of labor market flows but also of the approximation error embedded in other decompositions that use surrogates for the current rate. Using data for the United States and Brazil, the results for the latter show significant differences in the flows’ contributions and non-negligible distortions of approximation errors when the variance of the current (instead of the proxy) rate is decomposed; for the U.S., no substantial changes are detected.

Decompor a variância da taxa de desemprego para medir a contribuição de cada fluxo do mercado de trabalho já se tornou uma prática recorrente na literatura especializada na análise dos ajustes do mercado de trabalho ao ciclo econômico. No entanto, a grande maioria dos estudos com esse propósito aproxima a variância da taxa de desemprego pela variância de uma proxy para a taxa de desemprego; em geral, a taxa de desemprego do estado estacionário. Neste texto, propõe-se uma decomposição para a variância da taxa de desemprego de fato, que, além de medir a contribuição de cada fluxo do mercado de trabalho, traz também uma medida da importância do erro de aproximação que se incorreria ao usar uma proxy em vez da própria taxa de desemprego. O procedimento é ilustrado usando dados para o Brasil e para os Estados Unidos. Os resultados sugerem que, para o Brasil, a importância do erro de aproximação não é desprezível e que a importância relativa de alguns fluxos muda consideravelmente quando se usa a variância da taxa de desemprego ou alguma das proxies para essa variável utilizadas na literatura. Por sua vez, os resultados para os Estados Unidos são bem menos afetados pelo uso das mesmas proxies consideradas.",https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/210826_dp_260.pdf,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/210826_dp_260_sumex_ing.pdf,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38421
