,Data de Criação,Título,Autor,Link do PDF,Nota Técnica,Link
0,26/07/2022 10:43,Presença de Militares em Cargos e Funções Comissionadas do Executivo Federal,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220726_pb16_militares.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39456&Itemid=466
1,04/07/2022 18:28,Concurso Público Nacional Unificado da Magistratura do Trabalho: Breves Características de um Processo Seletivo Inédito,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220706_pb15_concurso_versaodivulgacao.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39413
2,23/05/2022 13:51,INCLUA - Plataforma de recursos Pró-Equidade em políticas públicas,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220523_pb14_inclua_versaodivulgacao.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39264
3,29/04/2022 14:54,Os governos estaduais na gestão das políticas sociais,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220429_pb13_governos.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39193
4,31/03/2022 16:16,Ações Afirmativas no Serviço Público: A Reserva de Vagas para Pessoas Negras,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220331_pb12_cotas.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39101
5,14/02/2022 10:12,Sistemas de Jurisdição Trabalhista,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/220218_sistemas_de_jurisdicao_trabalhista.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38954
6,23/11/2021 10:20,Dez anos de produção de evidências na Diest/Ipea,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/211123_diest_dez_anos_divulgacao_diset.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38681
7,18/10/2021 15:55,Organização da administração pública e capacidade estatal: Dados e comparativos do poder executivo.,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/211018_pb9_administracao_versao_divulgacao.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38588
8,15/09/2021 11:44,Atlas da Violência 2021,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210915_pb_8_atlas_da_violencia.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38491
9,18/08/2021 11:32,"Enfrentamento da Covid-19: Estado, ciência e informação em políticas públicas",,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210818_pb7_covid_e_estado.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38379
10,21/07/2021 13:19,Mapa das Organizações da Sociedade Civil,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210721_pb6_divulcacao_v4.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38279
11,28/05/2021 12:05,O uso e o não uso de evidências científicas nas políticas públicas - A visão dos servidores públicos federais,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210528_policy_brief_ipea_divulgacao_05.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38043
12,27/05/2021 16:15,O cuidado a usuários de drogas na América Latina,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210527_policy_brief_ipea_divulgacao_04.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38039
13,27/05/2021 16:13,"Reformas do Estado no Brasil: Trajetórias, inovações e desafios",,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210527_policy_brief_ipea_divulgacao_03.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38038
14,27/05/2021 16:10,Funcionalismo público no Brasil: Análise dos dados nas últimas três décadas,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210527_policy_brief_ipea_divulgacao_02.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38037
15,27/05/2021 16:06,O Judiciário no enfrentamento à violência contra as mulheres,,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/em_questao/210531_pb1_ipea_divulgacao.pdf,Policy Brief - Em Questão - Evidências para políticas públicas,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38036
