,PDF Links,Título do Artigo,Autor,Data Publicação,Título,Link
0,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art1.pdf,PROMOVENDO O DESEMPENHO EDUCACIONAL VIA MELHORIAS NA GESTÃO ESCOLAR: O CASO DO PROGRAMA JOVEM DE FUTURO,"Ricardo Paes de Barros, Mirela de Carvalho, Samuel Franco, Beatriz Silva Garcia, Ricardo Henriques, Laura Muller Machado","2021 Dezembro - Volume 51, 3",PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
1,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art2.pdf,OS DETERMINANTES MACROECONÔMICOS DA ESTRUTURA A TERMO DO CUPOM CAMBIAL NO BRASIL,"Marcelo Fernandes, Ygor Munhoz, Clemens Nunes",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
2,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art3.pdf,GRAU DE ESPECIALIZAÇÃO DA CESTA DE EXPORTAÇÕES E SUA RELAÇÃO COM A COMPLEXIDADE ECONÔMICA DAS UNIDADES DA FEDERAÇÃO BRASILEIRAS,"Felipe Orsolin Teixeira, Clailton Ataídes de Freitas, Daniel Arruda Coronel",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art4.pdf,O CICLO DAS COMMODITIES E O CRESCIMENTO REGIONAL DESIGUAL NO BRASIL ENTRE 2005 E 2014: UMA APLICAÇÃO DE EQUILÍBRIO GERAL COMPUTÁVEL,"Celso Bissoli Sessa, Thiago Cavalcante Simonato, Edson Paulo Domingues",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art5.pdf,EFEITO DA MUNICIPALIZAÇÃO DO IMPOSTO TERRITORIAL RURAL SOBRE A ARRECADAÇÃO TRIBUTÁRIA DOS MUNICÍPIOS BRASILEIROS,"Claudia Heck, Fábio Nishimura, Beatriz Santos Araújo",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
5,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art6.pdf,MIGRAÇÃO INTERMUNICIPAL NO NORDESTE BRASILEIRO: HÁ EVIDÊNCIAS DE SELEÇÃO MIGRATÓRIA?,"Luís Abel da Silva Filho, Guilherme Mendes Resende",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
6,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art7.pdf,ABORDAGEM HIERÁRQUICO-ESPACIAL DOS FATORES QUE AFETAM A PARTICIPAÇÃO NO MERCADO DE TRABALHO BRASILEIRO,"Danyella Juliana Martins de Brito, Marcus Vinícius Amaral e Silva, Marta Cristiane Timóteo Rossi",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art8.pdf,EFEITOS ECONÔMICOS DA ZONA FRANCA DE MANAUS,"Rogério da Cruz Gonçalves, Philipp Ehrl",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3
8,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220401_ppe_51_n2_art01.pdf,HABILIDADES E PRÊMIO SALARIAL URBANO,"Edivaldo Constantino das Neves Júnior, Carlos Roberto Azzoni, André Squarize Chagas","2021 Agosto - Volume 51, 2",PPE - Pesquisa e Planejamento Econômico - 51 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105
9,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220401_ppe_51_n2_art02.pdf,APOIO FINANCEIRO OU TIPO DE ESCOLA DE ENSINO MÉDIO? UMA ANÁLISE DO FIES E DO PROUNI SOBRE A SOBREVIVÊNCIA DE ESTUDANTES NO ENSINO SUPERIOR BRASILEIRO,"Alice Saccaro, Marco Túlio Aniceto França",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105
10,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220401_ppe_51_n2_art03.pdf,OS EFEITOS DAS MEDIDAS ANTI-DUMPING DO BRASIL SOBRE SUAS IMPORTAÇÕES,"Giulio Caliani, Sérgio Kannebley Júnior",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105
11,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220401_ppe_51_n2_art04.pdf,IMPACTO DA MIGRAÇÃO DE RETORNO AO NORDESTE SOBRE A DISTRIBUIÇÃO SALARIAL: UMA ABORDAGEM SEMIPARAMÉTRICA,"Maria Adreciana Silva de Aguiar, João Mário Santos de França",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105
12,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220401_ppe_51_n2_art05.pdf,TRANSPORTE E CRESCIMENTO ECONÔMICO: O CASO DO PROACESSO EM MINAS GERAIS,"Lucas Siqueira de Castro, Eduardo Almeida, João Eustáquio de Lima",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105
13,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220401_ppe_51_n2_art06.pdf,INVESTIMENTO ESTRANGEIRO DIRETO E DESIGUALDADE DE RENDA INTRASETORIAL NA INDÚSTRIA BRASILEIRA DE TRANSFORMAÇÃO,"Cristiane Vanessa C. Borges, Gilberto Joaquim Fraga",,PPE - Pesquisa e Planejamento Econômico - 51 - nº 02,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39105
14,,,,"2021 Abril - Volume 51, 1",PPE - Pesquisa e Planejamento Econômico - 51 - nº 01,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38520
15,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_01.pdf,"EXPECTATIVAS DE INFLAÇÃO, METAS PERCEBIDAS PELOS AGENTES E CREDIBILIDADE DAS AUTORIDADES MONETÁRIAS","Luciano Vereda, Victor Mamede, Daniel Karp, Renato Lerípio","2020 Dezembro- Volume 50, 3",PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
16,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_02.pdf,IMPACTOS DE BEM-ESTAR DA PRIVATIZAÇÃO DE INFRAESTRUTURA,"Ricardo A. de Castro Pereira, Pedro Cavalcanti Ferreira, Arley Rodrigues Bezerra",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
17,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_03.pdf,É POSSÍVEL A INFLAÇÃO BRASILEIRA SER AFETADA PELA TRIBUTAÇÃO?,José Laurindo de Almeida,,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
18,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_04.pdf,VOU DE TÁXI? UMA ANÁLISE DA OFERTA DE TRABALHO DE MOTORISTAS DE TÁXI NO BRASIL,"Cristiano Aguiar de Oliveira, Gabriel Costeira Machado",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
19,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/210715_ppe_miolo_art_05.pdf,"ELITES POLÍTICAS, IDEOLOGIA E GASTO PÚBLICO NAS PEQUENAS CIDADES BRASILEIRAS","Willson Gerigk, Adriano Codato",,PPE - Pesquisa e Planejamento Econômico - 50 - nº 03,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38226
