,PDF Links,Autores,Publicação Mãe,Link,Título do Artigo
0,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_inicio.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,NOTA DOS EDITORES
1,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art01.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,UMA ANÁLISE DA REPROVAÇÃO E DA EVASÃO NO ENSINO MÉDIO CATARINENSE USANDO MICRODADOS ADMINISTRATIVOS
2,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art02.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,ENTRE AS NECESSIDADES DE SAÚDE E A FORMAÇÃO DA AGENDA GOVERNAMENTAL: UMA ANÁLISE PROCEDIMENTAL DAS TESSITURAS DE UM ESPAÇO
3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art03.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,O ACORDO DE PARIS E AS EMISSÕES DE GASES: IMPACTOS SOBRE A PRODUÇÃO DE SUÍNOS NO BRASIL
4,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art04.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,DESENVOLVIMENTO E CRIMINALIDADE: UMA ANÁLISE DA RELAÇÃO ENTRE O SALÁRIO DOS POLICIAIS E A TAXA DE HOMICÍDIOS NOS ESTADOS DO BRASIL
5,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art05.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,O GASTO ORÇAMENTÁRIO E O DESEMPENHO ESCOLAR DOS MUNICÍPIOS PAULISTAS: RELAÇÕES ENTRE O ELEMENTO DE DESPESA – OBJETO DO GASTO ORÇAMENTÁRIO – E O IDEB DO ENSINO FUNDAMENTAL DE 2008 A 2017
6,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art06.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,"SEXO, OCUPAÇÃO E A PREVALÊNCIA DE SINTOMAS DEPRESSIVOS NA POPULAÇÃO BRASILEIRA: UM ESTUDO COM BASE NA PESQUISA NACIONAL DE SAÚDE (2013)"
7,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art07.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,TRABALHO ANÁLOGO AO DE ESCRAVO: DISPUTA DO CONCEITO E POLÍTICAS PÚBLICAS DE ENFRENTAMENTO NO BRASIL
8,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art08.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,O PAPEL DO BRASIL NO COMÉRCIO INTERNACIONAL DE ÁGUA VIRTUAL: UMA ANÁLISE DE INSUMO-PRODUTO
9,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art09.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,DEPENDÊNCIA ECONÔMICA E VIOLÊNCIA DOMÉSTICA CONJUGAL NO BRASIL
10,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art10.pdf,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,UMA ANÁLISE DOS RESULTADOS EDUCACIONAIS DOS MUNICÍPIOS BRASILEIROSA
11,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=1226&Itemid=68,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,QUEM SOMOS
12,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=177:quem-e-quem&catid=120:presidencia&Itemid=68,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,QUEM É QUEM
13,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=1246&Itemid=68,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,BIBLIOTECA
14,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=1266&Itemid=68,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,LIVRARIA
15,https://portalantigo.ipea.gov.br/portal/index.php?option=com_alphacontent&view=alphacontent&Itemid=357,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,PUBLICAÇÕES
16,https://portalantigo.ipea.gov.br/portal/index.php?option=com_alphacontent&view=alphacontent&Itemid=66,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,AGENDA DE AUTORIDADES
17,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=section&layout=blog&id=77&Itemid=443,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,AGENDA DE EVENTOS
18,https://portalantigo.ipea.gov.br/portal/../etica/,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,COMISSÃO DE ÉTICA
19,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=112&catid=120&Itemid=2,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,GABINETE
20,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=14087&catid=154&Itemid=70,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,ASTEC
21,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=152&catid=118&Itemid=4,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,DINTE
22,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=149&catid=119&Itemid=7,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,DIRUR
23,https://portalantigo.ipea.gov.br/portal/index.php/?option=com_content&view=article&id=23255&Itemid=5,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,BOLSAS
24,https://portalantigo.ipea.gov.br/portal/index.php/?option=com_content&view=article&id=37483,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,CARGOS EM COMISSÃO
25,https://portalantigo.ipea.gov.br/portal/index.php/?option=com_content&view=article&id=23256&Itemid=5,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,CONSULTORIAS
26,https://portalantigo.ipea.gov.br/portal/index.php/?option=com_content&view=article&id=23257&Itemid=5,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,APOIO A EVENTOS
27,https://portalantigo.ipea.gov.br/portal/index.php/?option=com_content&view=article&id=1563&Itemid=5,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,ESTÁGIO
28,http://www.mestradoprofissional.gov.br,,Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,MESTRADO PROFISSIONAL
