,Unnamed: 0,0,Título do Artigo,Autor,Palavras-chave,Resumo,Link,PDF Links
0,0,,,,,,,
1,1,,Temas relevantes da agenda federativa - Dezembro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24331,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/agenda_federativa_dezembro.pdf
2,2,,Temas relevantes da agenda federativa - Novembro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24330,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/150121_agenda_federativa_novembro
3,3,,Temas relevantes da agenda federativa - Outubro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=23667,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/141007_agenda_federativa_outubro
4,4,,Temas relevantes da agenda federativa - Setembro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=23400,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140902_agenda_federativa_setembro.pdf
5,5,,,,,,,
6,6,,Temas relevantes da agenda federativa - Julho 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22810,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140701_agenda_federativa_julho.pdf
7,7,,Temas relevantes da agenda federativa - Junho 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22594,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140603_agenda_federativa_junho.pdf
8,8,,Temas relevantes da agenda federativa - Maio 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22257,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140509_agenda_federativa_maio.pdf
9,9,,Temas relevantes da agenda federativa - Março 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=21646,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/Agenda_federativa/140311_agenda_federativa_marco.pdf
10,10,,Temas relevantes da agenda federativa - Fevereiro 2014,Rodrigo Costa,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=21363,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/Agenda_federativa/140210_agenda_federativa_fevereiro.pdf
11,11,,Temas relevantes da agenda federativa - Dezembro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20864,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131201_agendafederativa_dezembro_ipea.pdf
12,12,,Temas relevantes da agenda federativa - Novembro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20863,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131101_agendafederativa_novembro_ipea.pdf
13,13,,Temas relevantes da agenda federativa - Outubro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20200,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131014_agendafederativa_outubro_ipea.pdf
14,14,,Temas relevantes da agenda federativa - Agosto 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20199,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131014_agendafederativa_agosto_ipea.pdf
15,15,,Temas relevantes da agenda federativa - Setembro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20230,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131016_agendafederativa_setembro_ipea.pdf
16,16,,Temas relevantes da agenda federativa - Julho 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=19002,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130701_agendafederativa_julho_ipea.pdf
17,17,,Temas relevantes da agenda federativa - Junho 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=19000,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130630_agendafederativa_junho_ipea.pdf
