,Data de Criação,Categoria,Organizadores,Link do PDF,Título do Livro,Link
0,08/08/2022 16:13,Agricultura e Diversidades,Gesmar Rosa dos Santos e Rodrigo Peixoto da Silva,/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_web.pdf,"Trajetórias, Desafios Regionais e Políticas Públicas no Brasil",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39485&Itemid=466
1,26/07/2022 15:09,Cooperação Internacional em Tempos de Pandemia,Relatório COBRADI 2019-2020,/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_internacional_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466
2,14/07/2022 09:30,Uma solução em busca de um problema: repensando o enfrentamento ao tráfico de pessoas no Brasil,"Autores: Rodrigo Fracalossi de Moraes, André de Mello e Souza, Flávia do Bonsucesso Teixeira e Mirian Alves de Souza",/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39426&Itemid=466
3,03/05/2022 15:32,Universidade e Território,,/portal/images/stories/PDFs/livros/livros/214076_lv_universidade_trritorio_web_novo.pdf,Ensino superior e desenvolvimento regional no Brasil do século XXI,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39207
4,12/04/2022 11:31,Políticas públicas e usos de evidências no Brasil,,/portal/images/stories/PDFs/livros/livros/220412_lv_politicas_publicas_web.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39135
5,31/03/2022 16:33,"Água, Problemas Complexos e o Plano Nacional de Segurança Hídrica",,/portal/images/stories/PDFs/livros/livros/220331_lv_agua_problemas.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39102
6,08/03/2022 16:10,PolicySpace2: modelando mercado Imobiliário e políticas públicas,,/portal/images/stories/PDFs/livros/livros/220308_livro_policy_space_2.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39008
7,03/02/2022 16:56,Entre relações de cuidado e vivências de vulnerabilidade : dilemas e desafios para o trabalho doméstico e de cuidados remunerado no Brasil,,/portal/images/stories/PDFs/livros/livros/220203_livro_entre_relacoes_de_cuidado_e_vivencia.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38920
8,02/02/2022 13:43,Atlas das periferias no Brasil: Aspectos Raciais de Infraestrutura nos Aglomerados Subnormais,,/portal/images/stories/PDFs/livros/livros/220202_livro_atlas_das_periferias.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38912
9,02/02/2022 08:36,"Contas de saúde na perspectiva da contabilidade internacional: conta SHA para o Brasil, 2015 a 2019",,/portal/images/stories/PDFs/livros/livros/220202_livro_contas_de_saude.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38910
10,12/01/2022 21:01,Gobernanza Metropolitana en América Latina: un panorama de las experiencias contemporáneas desde una perspectiva comparada,,/portal/images/stories/PDFs/livros/livros/220112_livro_gobernanza_metropolitana_en_america_latina.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38863
11,08/12/2021 10:58,"Federalismo, Planejamento e Financiamento: avanços e desafios da governança metropolitana no Brasil",,/portal/images/stories/PDFs/livros/livros/livro_federalismo_planejamento_financiamento_avancos_desafios.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38747
12,08/12/2021 08:00,A Aplicação da Lei Maria da Penha em Cena: atores e práticas na produção de justiça para mulheres em situação de violência,,/portal/images/stories/PDFs/livros/livros/211207_lv_aplicacoes_lei_maria_da_penha_book.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38746
13,27/08/2021 11:13,New Pathways for Innovation in Brazil,,/portal/images/stories/PDFs/livros/livros/210827_livro_new_pathways.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38425
14,22/07/2021 16:47,"Brasil, Brasis: reconfigurações territoriais da indústria no século XXI",,/portal/images/stories/PDFs/livros/livros/210722_lv_brasil_book.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38285
15,02/06/2021 15:32,Fronteiras do Brasil: Referências para a Formulação de Políticas Públicas,,/portal/images/stories/PDFs/livros/livros/210602_livro_fronteira_do_brasil_vol_6.pdf,Volume 6,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=38053
16,05/05/2021 14:25,Alternativas de Cuidado a Usuários de Drogas na América Latina: desafios e possibilidades de ação pública,,/portal/images/stories/PDFs/livros/livros/210505_livro_alternativas_de_cuidado.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37942
17,04/05/2021 14:44,Corredor bioceânico de Mato Grosso do Sul ao pacífico : produção e comércio na rota da integração sul,,/portal/images/stories/PDFs/livros/livros/210504_livro_corredor_bioceanico_ipea_uems_2020.pdf,americana,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37931
18,03/05/2021 11:09,Governança Metropolitana na América Latina: um panorama das experiências contemporâneas sob uma mirada comparativa,,/portal/images/stories/PDFs/livros/livros/210503_livro_governanca_metropolitana.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37919
19,14/04/2021 14:49,Direito e políticas culturais,,/portal/images/stories/PDFs/livros/livros/210414_direitos_politicos_culturais.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37814
20,13/04/2021 10:23,Research For Trade In Services Between China And Brazil,,/portal/images/stories/PDFs/livros/livros/210413_livro_research_for_trade_in_services.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37762
21,13/04/2021 10:15,Impact Assessment Of A China,,/portal/images/stories/PDFs/livros/livros/210413_livro_impact_assessment_of_a_china_brazil.pdf,Brazil Free Trade Agreement Tariffs On Goods,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37761
22,23/12/2020 12:32,Avaliação de Políticas Públicas no Brasil: uma análise das políticas de defesa da concorrência,,/portal/images/stories/PDFs/livros/livros/201223_livro_avaliacaoo_de_politicas_publicas_no_brasil.pdf,Volume 5,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37288
23,18/12/2020 08:46,Dimensionamento de Gastos das Instituições da Administração Pública Federal na Cooperação Brasileira para o Desenvolvimento Internacional: COBRADI 2017,,/portal/images/stories/PDFs/livros/livros/210122_lv_dimensionamento_de_gastos.pdf,2018,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37258
24,16/12/2020 13:13,"Reformas do Estado no Brasil: Trajetórias, Inovações e Desafios",,/portal/images/stories/PDFs/livros/201216_lv_reformas_do_estado.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37248
25,16/12/2020 10:59,"Dinâmicas da Economia Solidária no Brasil: organizações econômicas, representações sociais e políticas públicas",,/portal/images/stories/PDFs/livros/201216_livro_dinamicas_da_economia.pdf,,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=37244
