,Data de Criação,Título do Livro,Categoria,Organizadores,Link do PDF
0,08/08/2022 16:13,"Trajetórias, Desafios Regionais e Políticas Públicas no Brasil",Agricultura e Diversidades,Gesmar Rosa dos Santos e Rodrigo Peixoto da Silva,/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_web.pdf
1,26/07/2022 15:09,,Cooperação Internacional em Tempos de Pandemia,Relatório COBRADI 2019-2020,/portal/images/stories/PDFs/livros/livros/220726_216837_lv_cooperacao_internacional_web.pdf
2,14/07/2022 09:30,,Uma solução em busca de um problema: repensando o enfrentamento ao tráfico de pessoas no Brasil,"Autores: Rodrigo Fracalossi de Moraes, André de Mello e Souza, Flávia do Bonsucesso Teixeira e Mirian Alves de Souza",/portal/images/stories/PDFs/livros/livros/220714_livro_uma_solucao_em_busca_de_um_problema.pdf
3,03/05/2022 15:32,Ensino superior e desenvolvimento regional no Brasil do século XXI,Universidade e Território,,/portal/images/stories/PDFs/livros/livros/214076_lv_universidade_trritorio_web_novo.pdf
4,12/04/2022 11:31,,Políticas públicas e usos de evidências no Brasil,,/portal/images/stories/PDFs/livros/livros/220412_lv_politicas_publicas_web.pdf
5,31/03/2022 16:33,,"Água, Problemas Complexos e o Plano Nacional de Segurança Hídrica",,/portal/images/stories/PDFs/livros/livros/220331_lv_agua_problemas.pdf
6,08/03/2022 16:10,,PolicySpace2: modelando mercado Imobiliário e políticas públicas,,/portal/images/stories/PDFs/livros/livros/220308_livro_policy_space_2.pdf
7,03/02/2022 16:56,,Entre relações de cuidado e vivências de vulnerabilidade : dilemas e desafios para o trabalho doméstico e de cuidados remunerado no Brasil,,/portal/images/stories/PDFs/livros/livros/220203_livro_entre_relacoes_de_cuidado_e_vivencia.pdf
8,02/02/2022 13:43,,Atlas das periferias no Brasil: Aspectos Raciais de Infraestrutura nos Aglomerados Subnormais,,/portal/images/stories/PDFs/livros/livros/220202_livro_atlas_das_periferias.pdf
9,02/02/2022 08:36,,"Contas de saúde na perspectiva da contabilidade internacional: conta SHA para o Brasil, 2015 a 2019",,/portal/images/stories/PDFs/livros/livros/220202_livro_contas_de_saude.pdf
10,12/01/2022 21:01,,Gobernanza Metropolitana en América Latina: un panorama de las experiencias contemporáneas desde una perspectiva comparada,,/portal/images/stories/PDFs/livros/livros/220112_livro_gobernanza_metropolitana_en_america_latina.pdf
11,08/12/2021 10:58,,"Federalismo, Planejamento e Financiamento: avanços e desafios da governança metropolitana no Brasil",,/portal/images/stories/PDFs/livros/livros/livro_federalismo_planejamento_financiamento_avancos_desafios.pdf
12,08/12/2021 08:00,,A Aplicação da Lei Maria da Penha em Cena: atores e práticas na produção de justiça para mulheres em situação de violência,,/portal/images/stories/PDFs/livros/livros/211207_lv_aplicacoes_lei_maria_da_penha_book.pdf
13,27/08/2021 11:13,,New Pathways for Innovation in Brazil,,/portal/images/stories/PDFs/livros/livros/210827_livro_new_pathways.pdf
14,22/07/2021 16:47,,"Brasil, Brasis: reconfigurações territoriais da indústria no século XXI",,/portal/images/stories/PDFs/livros/livros/210722_lv_brasil_book.pdf
