Título,Link,Tipo,Data da Publicação,PDF Links
Notas da Presidência - 2022 - Agosto - Número 12 - Expansão do Programa Auxílio Brasil: Uma Reflexão Preliminar,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39491&Itemid=466,Publicações - Notas da Presidência/2022,10/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/220810_219307_np_gabin_n12_web_novo.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Publicações - PPE - volume 51 - número 3,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,Publicações - PPE/Dimac,10/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_book.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art4.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art5.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art6.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art7.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art8.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
"Agricultura e Diversidades - Trajetórias, Desafios Regionais e Políticas Públicas no Brasil",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39485&Itemid=466,Publicações - Livros (todos os anos)/2022,08/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_web.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_agradecimento.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_apresentacao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_introducao.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_parte1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap1.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap4.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_parte2.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap5.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap6.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap7.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap8.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_parte3.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap9.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap10.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap11.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_cap12.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Agosto - Número 99 - Diset - Risco Regulatório e Estimativa do Impacto Financeiro Potencial do PDL nº 94/2022 nos Investimentos em Infraestrutura,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39481&Itemid=8,Publicações - Notas Técnicas/Diset,05/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220805_218772_nt_diset_n99_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Agosto - Número 58 - Diest - Despesas com Pessoal Ativo na Federação Brasileira (2002 - 2020),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39480&Itemid=6,Publicações - Notas Técnicas/Diest,05/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220805_218759_nt_diest_n58_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2789 - Catch-up Tecnológico e Superação da Armadilha da Renda Média: O Caso da China no Setor de Semicondutores,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39482&Itemid=466,Publicações - TDs (todos os anos)/2022,05/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2789_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2789.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2787 - Panorama do Hidrogênio no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39477&Itemid=466,Publicações - TDs (todos os anos)/2022,04/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/2787_218762_td_2787_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/2787_218762_td_2787_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Nota Técnica - 2022 - Julho- Número 53 - Dinte - Participação dos Insumos Importados na Produção das Empresas Industriais Brasileiras,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39476&Itemid=3,Publicações - Notas Técnicas/Dimac,04/08/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/nota_tecnica/220804_218206_nt_dinte_n53_web.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,Publicações - PPP/Dirur,28/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_web.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_inicio.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art01.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art02.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art03.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art04.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art05.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art06.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art07.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art08.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art09.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppp/220728_218669_ppp61_art10.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
TD 2786 - Decomposição Estrutural do Consumo de Energia Elétrica no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39468&Itemid=466,Publicações - TDs (todos os anos)/2022,28/07/2022,"['https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2786_sumex.pdf', 'https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/TDs/td_2786.pdf', 'https://www.ipea.gov.br/portal/images/stories/PDFs/211222_declaracao_privacidade_dados_ipea.pdf']"
