Título,Link,Tipo,Data da Publicação
Notas da Presidência - 2022 - Agosto - Número 12 - Expansão do Programa Auxílio Brasil: Uma Reflexão Preliminar,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39491&Itemid=466,,
,,,
Publicações - PPE - volume 51 - número 3,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,,
,,,
"Agricultura e Diversidades - Trajetórias, Desafios Regionais e Políticas Públicas no Brasil",https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39485&Itemid=466,,
,,,
Nota Técnica - 2022 - Agosto - Número 99 - Diset - Risco Regulatório e Estimativa do Impacto Financeiro Potencial do PDL nº 94/2022 nos Investimentos em Infraestrutura,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39481&Itemid=8,,
,,,
Nota Técnica - 2022 - Agosto - Número 58 - Diest - Despesas com Pessoal Ativo na Federação Brasileira (2002 - 2020),https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39480&Itemid=6,,
,,,
TD 2789 - Catch-up Tecnológico e Superação da Armadilha da Renda Média: O Caso da China no Setor de Semicondutores,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39482&Itemid=466,,
,,,
TD 2787 - Panorama do Hidrogênio no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39477&Itemid=466,,
,,,
Nota Técnica - 2022 - Julho- Número 53 - Dinte - Participação dos Insumos Importados na Produção das Empresas Industriais Brasileiras,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39476&Itemid=3,,
,,,
Publicações - PPP - número 61,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39466&Itemid=7,,
,,,
TD 2786 - Decomposição Estrutural do Consumo de Energia Elétrica no Brasil,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39468&Itemid=466,,
,,,
Cooperação Internacional em Tempos de Pandemia: Relatório COBRADI 2019-2020,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39458&Itemid=466,,
,,,
