link_orig,pdf_link,info
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39491&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/220810_219307_np_gabin_n12_web_novo.pdf,Expansão do Programa Auxílio Brasil: Uma Reflexão Preliminar
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_book.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art1.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art2.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art3.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art4.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art5.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art6.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art7.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39490&Itemid=3,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/ppe/220810_ppe_v51_n3_miolo_art8.pdf,"2021 Dezembro - Volume 51, 3"
https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39485&Itemid=466,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/livros/livros/220808_217130_lv_agricultura_web.pdf,
